weber_version,start_date,start_time,offset,trial,time,condition,sid,version,code,stimulus,spacing,phase,value,presentation
0.3.2,7/2/17,11:48:17,6,0,48.86307691,pilot,abin,0.3.2,stream_1,,normal,practice,,int
0.3.2,7/2/17,11:48:17,6,0,48.89641031,pilot,abin,0.3.2,stream_1,,normal,practice,,int
0.3.2,7/2/17,11:48:17,6,0,48.92974371,pilot,abin,0.3.2,stream_1,,normal,practice,,int
0.3.2,7/2/17,11:48:17,6,0,48.96307711,pilot,abin,0.3.2,stream_1,,normal,practice,,int
0.3.2,7/2/17,11:48:17,6,0,48.99710667,pilot,abin,0.3.2,stream_1,,normal,practice,,int
0.3.2,7/2/17,11:48:17,6,0,49.01377337,pilot,abin,0.3.2,stream_1,,normal,practice,,int
0.3.2,7/2/17,11:48:17,6,0,49.04710677,pilot,abin,0.3.2,stream_1,,normal,practice,,int
0.3.2,7/2/17,11:48:17,6,0,49.08044017,pilot,abin,0.3.2,stream_1,,normal,practice,,int
0.3.2,7/2/17,11:48:17,6,0,49.11377358,pilot,abin,0.3.2,stream_1,,normal,practice,,int
0.3.2,7/2/17,11:48:17,6,0,49.14711436,pilot,abin,0.3.2,stream_1,,normal,practice,,int
0.3.2,7/2/17,11:48:17,6,0,49.16378106,pilot,abin,0.3.2,stream_1,,normal,practice,,int
0.3.2,7/2/17,11:48:17,6,0,49.19711487,pilot,abin,0.3.2,stream_1,,normal,practice,,int
0.3.2,7/2/17,11:48:17,6,0,49.23044828,pilot,abin,0.3.2,stream_1,,normal,practice,,int
0.3.2,7/2/17,11:48:17,6,0,49.26378168,pilot,abin,0.3.2,stream_1,,normal,practice,,int
0.3.2,7/2/17,11:48:17,6,0,49.29722502,pilot,abin,0.3.2,stream_1,,normal,practice,,int
0.3.2,7/2/17,11:48:17,6,0,49.31389172,pilot,abin,0.3.2,stream_1,,normal,practice,,int
0.3.2,7/2/17,11:48:17,6,0,49.34075871,pilot,abin,0.3.2,stimulus,w2nw,normal,practice,,int
0.3.2,7/2/17,11:48:17,6,0,49.34742613,pilot,abin,0.3.2,stream_1,,normal,practice,,int
0.3.2,7/2/17,11:48:17,6,0,49.38075954,pilot,abin,0.3.2,stream_1,,normal,practice,,int
0.3.2,7/2/17,11:48:17,6,0,49.41409294,pilot,abin,0.3.2,stream_1,,normal,practice,,int
0.3.2,7/2/17,11:48:17,6,0,49.43162686,pilot,abin,0.3.2,stream_1,,normal,practice,,int
0.3.2,7/2/17,11:48:17,6,0,49.46496026,pilot,abin,0.3.2,stream_1,,normal,practice,,int
0.3.2,7/2/17,11:48:17,6,0,49.50065985,pilot,abin,0.3.2,stream_1,,normal,practice,,int
0.3.2,7/2/17,11:48:17,6,0,49.53478704,pilot,abin,0.3.2,stream_1,,normal,practice,,int
0.3.2,7/2/17,11:48:17,6,0,49.55145374,pilot,abin,0.3.2,stream_1,,normal,practice,,int
0.3.2,7/2/17,11:48:17,6,0,49.58478714,pilot,abin,0.3.2,stream_1,,normal,practice,,int
0.3.2,7/2/17,11:48:17,6,0,49.61812055,pilot,abin,0.3.2,stream_1,,normal,practice,,int
0.3.2,7/2/17,11:48:17,6,0,49.65245982,pilot,abin,0.3.2,stream_1,,normal,practice,,int
0.3.2,7/2/17,11:48:17,6,0,49.66912652,pilot,abin,0.3.2,stream_1,,normal,practice,,int
0.3.2,7/2/17,11:48:17,6,0,49.70327669,pilot,abin,0.3.2,stream_1,,normal,practice,,int
0.3.2,7/2/17,11:48:17,6,0,49.73661009,pilot,abin,0.3.2,stream_1,,normal,practice,,int
0.3.2,7/2/17,11:48:17,6,0,49.76994349,pilot,abin,0.3.2,stream_1,,normal,practice,,int
0.3.2,7/2/17,11:48:17,6,0,49.80327689,pilot,abin,0.3.2,stream_1,,normal,practice,,int
0.3.2,7/2/17,11:48:17,6,0,49.81994359,pilot,abin,0.3.2,stream_1,,normal,practice,,int
0.3.2,7/2/17,11:48:17,6,0,49.85327741,pilot,abin,0.3.2,stream_1,,normal,practice,,int
0.3.2,7/2/17,11:48:17,6,0,49.88807491,pilot,abin,0.3.2,stream_1,,normal,practice,,int
